"var","x","y"
27.4067440032959,-120.5,11.5
27.4731597900391,-119.5,11.5
27.5424880981445,-118.5,11.5
27.6221160888672,-117.5,11.5
27.7002182006836,-116.5,11.5
27.7760696411133,-115.5,11.5
27.8369255065918,-114.5,11.5
27.9623756408691,-113.5,11.5
28.1020412445068,-112.5,11.5
28.2140502929688,-111.5,11.5
28.299633026123,-110.5,11.5
28.465612411499,-109.5,11.5
28.5480175018311,-108.5,11.5
28.7177066802979,-107.5,11.5
28.8356456756592,-106.5,11.5
28.969690322876,-105.5,11.5
29.0666084289551,-104.5,11.5
29.215576171875,-103.5,11.5
29.2940006256104,-102.5,11.5
29.333927154541,-101.5,11.5
29.3132209777832,-100.5,11.5
29.3132839202881,-99.5,11.5
29.2235221862793,-98.5,11.5
29.1165637969971,-97.5,11.5
29.0660514831543,-96.5,11.5
29.1331119537354,-95.5,11.5
29.2974052429199,-94.5,11.5
29.4815940856934,-93.5,11.5
29.618049621582,-92.5,11.5
29.6764106750488,-91.5,11.5
29.6572895050049,-90.5,11.5
29.6506061553955,-89.5,11.5
29.6893730163574,-88.5,11.5
29.9983177185059,-87.5,11.5
30.0577392578125,-86.5,11.5
29.3949394226074,-85.5,11.5
28.1300239562988,-84.5,11.5
28.1464900970459,-83.5,11.5
28.4703807830811,-82.5,11.5
28.4888725280762,-81.5,11.5
28.6049880981445,-80.5,11.5
28.5923767089844,-79.5,11.5
28.6346588134766,-78.5,11.5
28.6738224029541,-77.5,11.5
28.5879402160645,-76.5,11.5
28.5606536865234,-75.5,11.5
28.2349052429199,-74.5,11.5
28.1049270629883,-73.5,11.5
29.7731781005859,-72.5,11.5
29.1999454498291,-71.5,11.5
29.5523567199707,-70.5,11.5
28.4326953887939,-69.5,11.5
28.0339775085449,-68.5,11.5
27.7282066345215,-67.5,11.5
27.6636695861816,-66.5,11.5
27.5339469909668,-65.5,11.5
27.3744525909424,-64.5,11.5
27.525354385376,-63.5,11.5
27.7525329589844,-62.5,11.5
27.6820983886719,-61.5,11.5
27.6827545166016,-60.5,11.5
27.6891326904297,-59.5,11.5
27.6983871459961,-58.5,11.5
27.6406288146973,-57.5,11.5
27.5979614257812,-56.5,11.5
27.5480155944824,-55.5,11.5
27.4919662475586,-54.5,11.5
27.3473014831543,-53.5,11.5
27.3122272491455,-52.5,11.5
27.2624111175537,-51.5,11.5
27.1709098815918,-50.5,11.5
27.201021194458,-149.5,12.5
27.1644630432129,-148.5,12.5
27.1117362976074,-147.5,12.5
27.0574226379395,-146.5,12.5
27.0986499786377,-145.5,12.5
27.0824680328369,-144.5,12.5
27.0757274627686,-143.5,12.5
27.0665454864502,-142.5,12.5
27.1126499176025,-141.5,12.5
27.0705909729004,-140.5,12.5
