GridcellIndex,FunctionalGroupIndex,JuvenileMass,AdultMass,IndividualBodyMass,CohortAbundance,LogOptimalPreyBodySizeRatio,BirthTimeStep,ProportionTimeActive,TrophicIndex,IndividualReproductivePotentialMass,MaturityTimeStep,IsAdult,AgeMonths,TimeStepsJuviline,TimeStepsAdult
15,0,1.55538,51.8687,51.8687,1.02124e+006,-2.35147,115,0.5,2,65.7164,118,1,4,3,1
15,0,8.96822,922.506,316.774,1.04801e+006,-2.24328,115,0.5,2,0,4294967295,0,4,4,0
15,0,12.9543,418.962,364.784,124080,-2.46243,115,0.5,2,0,4294967295,0,4,4,0
15,0,2.24366,65.4046,65.4046,49193.4,-2.35147,115,0.5,2,82.9836,118,1,4,3,1
15,0,11.2197,1515.63,356.518,4160.58,-2.24328,115,0.5,2,0,4294967295,0,4,4,0
15,0,4.96314,917.11,221.513,6.35791e+006,-2.24328,115,0.5,2,0,4294967295,0,4,4,0
15,0,43.3136,3209.4,699.418,4297.6,-2.71651,115,0.5,2,0,4294967295,0,4,4,0
15,0,2.52971,97.9736,97.9736,993748,-2.35147,115,0.5,2,74.903,119,1,4,4,0
15,0,35.5359,4072.56,640.593,8015.91,-2.71651,115,0.5,2,0,4294967295,0,4,4,0
15,0,1.20363,119.814,119.814,955915,-2.35147,115,0.5,2,4.48386,119,1,4,4,0
15,0,3.48114,207.722,186.268,419.792,-2.24328,115,0.5,2,0,4294967295,0,4,4,0
15,0,11.6845,332.91,332.91,5723.28,-2.46243,115,0.5,2,6.04602,119,1,4,4,0
15,0,8.3802,504.693,293.871,364702,-2.46243,115,0.5,2,0,4294967295,0,4,4,0
15,0,2.38055,319.689,170.83,3756.44,-2.34468,115,0.5,2,0,4294967295,0,4,4,0
15,0,1.9783,409.391,158.346,8.49316,-2.34468,115,0.5,2,0,4294967295,0,4,4,0
15,0,4.03314,432.679,191.411,7.97781e+006,-2.34468,115,0.5,2,0,4294967295,0,4,4,0
15,0,10.0551,235.196,235.196,5.69809e+006,-2.46243,115,0.5,2,89.3655,119,1,4,4,0
15,0,5.61045,402.481,246.364,11337.2,-2.34468,115,0.5,2,0,4294967295,0,4,4,0
15,0,392.283,2008.74,2008.74,2.33514,-2.20265,115,0.5,2,556.964,119,1,4,4,0
15,0,1.24825,119.167,45.4429,2.27865e+006,-2.35147,116,0.5,2,0,4294967295,0,3,3,0
15,0,3.01371,461.543,83.3693,3.55089e+006,-2.34468,116,0.5,2,0,4294967295,0,3,3,0
15,0,7.96925,508.552,136.913,7249.97,-2.46243,116,0.5,2,0,4294967295,0,3,3,0
15,0,1.84906,174.545,57.6103,2.13714e+006,-2.24328,116,0.5,2,0,4294967295,0,3,3,0
15,0,1.3373,88.5324,51.3118,8.57505e+006,-2.35147,116,0.5,2,0,4294967295,0,3,3,0
15,0,1.00214,83.7538,34.5141,3.38609e+006,-2.35147,116,0.5,2,0,4294967295,0,3,3,0
15,0,1.69971,46.557,46.557,382606,-2.35147,116,0.5,2,12.4524,119,1,3,3,0
15,0,4.5885,814.571,98.9725,1.1867e+006,-2.34468,116,0.5,2,0,4294967295,0,3,3,0
15,0,10.1998,1469.13,167.487,9870.36,-2.24328,116,0.5,2,0,4294967295,0,3,3,0
15,0,5.42028,437.627,109.872,57539.3,-2.34468,116,0.5,2,0,4294967295,0,3,3,0
15,0,12.977,423.887,191.213,3.75001e+006,-2.46243,116,0.5,2,0,4294967295,0,3,3,0
15,0,1.73955,136.292,58.6066,54656.3,-2.35147,116,0.5,2,0,4294967295,0,3,3,0
15,0,6.79428,1276.49,124.246,46710.7,-2.24328,116,0.5,2,0,4294967295,0,3,3,0
15,0,18.5234,334.102,229.939,318.424,-2.46243,116,0.5,2,0,4294967295,0,3,3,0
15,0,8.59686,930.215,150.576,135438,-2.24328,116,0.5,2,0,4294967295,0,3,3,0
15,0,5.24395,629.927,99.9756,116258,-2.34468,116,0.5,2,0,4294967295,0,3,3,0
