GridcellIndex,FunctionalGroupIndex,TotalBiomass
1967,0,1.68187e+12
1967,1,1.13879e+13
1968,0,1.75404e+12
1968,1,1.11475e+13
2034,0,3.54954e+12
2034,1,3.95901e+12
2037,0,3.25488e+12
2037,1,1.85139e+12
2038,0,3.02692e+12
2038,1,4.90704e+12
2039,0,1.46704e+12
2039,1,8.50325e+12
2040,0,2.07653e+12
2040,1,5.85715e+12
2041,0,1.70464e+12
2041,1,4.8945e+12
2042,0,2.25317e+12
2042,1,1.9778e+12
2043,0,2.51002e+12
2043,1,2.22945e+12
2044,0,2.29378e+12
2044,1,3.02648e+12
2045,0,1.52425e+12
2045,1,6.57269e+12
2046,0,1.6598e+12
2046,1,5.1059e+12
2047,0,1.76326e+12
2047,1,5.77726e+12
2048,0,1.70183e+12
2048,1,8.37041e+12
2049,0,1.26859e+12
2049,1,1.02116e+13
2050,0,1.43627e+12
2050,1,1.30471e+13
2051,0,1.79028e+12
2051,1,1.65663e+13
2052,0,1.4875e+12
2052,1,1.39484e+13
2053,0,1.61427e+12
2053,1,1.69294e+13
2054,0,1.99723e+12
2054,1,1.98969e+13
2055,0,1.34463e+12
2055,1,7.27505e+12
2056,0,1.59673e+12
2056,1,8.10474e+12
2057,0,1.62486e+12
2057,1,1.66264e+13
2058,0,1.73932e+12
2058,1,1.75575e+13
2059,0,1.56915e+12
2059,1,1.09907e+13
2064,0,1.44978e+12
2064,1,1.03197e+13
2065,0,1.18808e+12
2065,1,4.99321e+12
2066,0,1.64518e+12
2066,1,1.12703e+13
2067,0,1.76826e+12
2067,1,1.43259e+13
2068,0,1.68281e+12
2068,1,1.48118e+13
2133,0,3.20902e+12
2133,1,4.58137e+12
2134,0,3.413e+12
2134,1,2.76216e+12
2137,0,5.5221e+12
2137,1,4.19963e+12
2138,0,3.19374e+12
2138,1,9.86748e+12
2139,0,1.55604e+12
2139,1,8.46109e+12
2140,0,2.06723e+12
2140,1,7.25581e+12
2141,0,2.14689e+12
2141,1,2.79993e+12
2142,0,2.6659e+12
2142,1,1.95151e+12
2143,0,2.23446e+12
2143,1,1.8557e+12
2144,0,2.57569e+12
2144,1,4.92947e+12
2145,0,2.60935e+12
2145,1,6.13967e+12
2146,0,1.7347e+12
2146,1,1.85945e+12
2147,0,1.57972e+12
2147,1,3.68738e+12
2148,0,1.43782e+12
2148,1,9.93719e+12
2149,0,1.3444e+12
2149,1,9.41832e+12
2150,0,1.53956e+12
2150,1,1.38614e+13
2151,0,1.13767e+12
2151,1,6.00152e+12
2152,0,1.48433e+12
2152,1,9.83506e+12
2153,0,1.77124e+12
2153,1,1.79014e+13
2154,0,1.77433e+12
2154,1,2.00994e+13
2155,0,1.74429e+12
2155,1,1.47278e+13
2156,0,1.41533e+12
2156,1,6.13263e+12
2157,0,1.80593e+12
2157,1,1.56105e+13
2158,0,1.40987e+12
2158,1,1.12484e+13
2159,0,1.69177e+12
2159,1,2.29297e+13
2160,0,1.68414e+12
2160,1,1.91203e+13
2161,0,1.75715e+12
2161,1,1.90476e+13
2162,0,1.8147e+12
2162,1,2.30112e+13
2163,0,1.92873e+12
2163,1,2.23601e+13
2164,0,1.83745e+12
2164,1,2.0958e+13
2165,0,1.6361e+12
2165,1,1.87349e+13
2166,0,1.58725e+12
2166,1,1.62601e+13
2167,0,1.66774e+12
2167,1,1.72449e+13
2168,0,1.55759e+12
2168,1,1.3883e+13
2233,0,1.99542e+12
2233,1,1.97489e+12
2234,0,1.01396e+12
2234,1,6.51503e+11
2235,0,2.04555e+12
2235,1,1.00999e+12
2236,0,2.88194e+12
2236,1,1.1485e+12
2237,0,5.96968e+12
2237,1,3.35942e+12
2238,0,4.49847e+12
2238,1,3.64192e+12
2239,0,1.8986e+12
2239,1,1.11135e+13
2240,0,2.92969e+12
2240,1,5.63055e+12
2241,0,1.14104e+12
2241,1,5.05451e+12
2242,0,2.6276e+12
2242,1,4.22744e+12
2243,0,2.14844e+12
2243,1,3.98211e+12
2244,0,8.69144e+11
2244,1,8.06494e+12
2245,0,2.34289e+12
2245,1,5.33769e+12
2246,0,1.2345e+12
2246,1,5.12228e+12
2247,0,1.07135e+12
2247,1,4.5346e+12
2248,0,1.0965e+12
2248,1,8.32012e+12
2249,0,9.54744e+11
2249,1,6.7613e+12
2250,0,1.266e+12
2250,1,7.42074e+12
2251,0,1.45121e+12
2251,1,9.49945e+12
2252,0,1.41183e+12
2252,1,6.87155e+12
2253,0,1.96233e+12
2253,1,1.77412e+13
2254,0,2.01657e+12
2254,1,2.01371e+13
2255,0,1.74419e+12
2255,1,1.42007e+13
2256,0,1.93169e+12
2256,1,2.00137e+13
2257,0,1.95934e+12
2257,1,2.56613e+13
2258,0,1.53699e+12
2258,1,1.67567e+13
2259,0,1.68971e+12
2259,1,1.98023e+13
2260,0,1.92523e+12
2260,1,1.85038e+13
2261,0,1.73869e+12
2261,1,2.05841e+13
2262,0,1.71396e+12
2262,1,2.12964e+13
2263,0,1.77207e+12
2263,1,2.24127e+13
2264,0,1.80787e+12
2264,1,2.01962e+13
2265,0,1.73208e+12
2265,1,2.21725e+13
2266,0,1.80077e+12
2266,1,1.51538e+13
2267,0,1.67732e+12
2267,1,1.44215e+13
2268,0,1.41947e+12
2268,1,1.09232e+13
2332,0,2.43777e+12
2332,1,1.03205e+13
2333,0,2.7453e+12
2333,1,2.27209e+12
2334,0,3.71522e+12
2334,1,1.93603e+12
2335,0,3.95498e+12
2335,1,2.08945e+12
2336,0,5.81122e+12
2336,1,3.52159e+12
2337,0,6.15867e+12
2337,1,5.24933e+12
2338,0,2.54341e+12
2338,1,1.02245e+13
2339,0,1.30457e+12
2339,1,9.11522e+12
2340,0,1.04756e+12
2340,1,1.24615e+13
2341,0,6.33234e+11
2341,1,5.83511e+12
2342,0,5.62485e+11
2342,1,2.46359e+12
2343,0,1.34093e+12
2343,1,4.2774e+12
2344,0,7.14334e+11
2344,1,6.97329e+12
2345,0,2.0669e+12
2345,1,6.74795e+12
2346,0,1.07229e+12
2346,1,6.83971e+12
2347,0,9.42537e+11
2347,1,9.6847e+12
2348,0,9.80628e+11
2348,1,9.04877e+12
2349,0,1.35228e+12
2349,1,1.26241e+13
2350,0,1.56993e+12
2350,1,1.11045e+13
2351,0,1.81516e+12
2351,1,1.44586e+13
2352,0,1.65676e+12
2352,1,1.29809e+13
2353,0,1.87175e+12
2353,1,1.69016e+13
2354,0,1.80094e+12
2354,1,1.67608e+13
2355,0,1.45623e+12
2355,1,7.99282e+12
2356,0,2.12211e+12
2356,1,2.03109e+13
2357,0,2.21422e+12
2357,1,1.99061e+13
2358,0,1.53963e+12
2358,1,1.02308e+13
2359,0,1.32985e+12
2359,1,1.13326e+13
2360,0,1.91668e+12
2360,1,1.60944e+13
2361,0,1.6903e+12
2361,1,1.54593e+13
2362,0,1.91221e+12
2362,1,2.03161e+13
2363,0,1.80048e+12
2363,1,2.1038e+13
2364,0,1.57893e+12
2364,1,1.16927e+13
2365,0,1.57174e+12
2365,1,1.63403e+13
2366,0,1.3857e+12
2366,1,7.68182e+12
2367,0,1.60422e+12
2367,1,1.03342e+13
2368,0,1.59324e+12
2368,1,1.52318e+13
2369,0,1.62002e+12
2369,1,1.40818e+13
2370,0,1.52827e+12
2370,1,1.00541e+13
2431,0,4.24307e+12
2431,1,9.85673e+12
2432,0,5.64015e+12
2432,1,1.16027e+13
2433,0,4.06975e+12
2433,1,3.60519e+12
2434,0,3.71088e+12
