GridcellIndex,IsMarine,GetRealm,GetLatitudeIndex,GetLongitudeIndex,GetCellArea,GetGridcellRealm,GetGridcellLandMask,AvailableWater,GetGridcellHanpp,TemperatureRange,Temp,GroundFrost,Precipitation,TerrestrialNPP,Get_Ecto_max,Get_Endo_C_max,Get_Endo_H_max,Get_Endo_O_max,TotalPrecip,Seasonality,BreedingSeason,AnnualTemperature,SDTemperature,ExpTDevWeight,AET,TotalAET,FractionMonthFrost,FractionYearFrost,FractionYearFire
4912,0,2,49,12,6309.89,2,1,800,0.312613,10.3492,6.64349,16.3984,96.3721,0.358268,29.2,32183.3,541460,180520,893.543,0.0709828,0,1.13285,7.73911,0.00203047,41.5018,367.239,0.546612,0.851028,0
4913,0,2,49,13,6309.89,2,1,700,3.17765,9.47541,6.65538,19.727,68.8361,0.269685,29.2,32183.3,541460,180520,706.47,0.0713913,0,1.28974,7.96407,0.00199902,41.2302,369.996,0.657568,0.946005,0
4914,0,2,49,14,6309.89,2,1,700,7.65544,9.66066,8.42736,18.3839,56.9344,0.269685,29.2,51600,541460,180520,570.495,0.0488588,0,3.02822,8.1099,0.00182445,43.6315,410.055,0.612798,0.88026,0
4915,0,2,49,15,6309.89,2,1,700,9.10437,10.3082,7.1881,19.4108,36.4738,0.240157,29.2,51600,541460,180520,377.477,0.052791,0,1.8327,7.93032,0.00162837,38.9117,365.211,0.647027,0.891523,0
4916,0,2,49,16,6309.89,2,1,800,8.32138,9.90656,9.49997,17.9361,33.8033,0.21063,29.2,51600,541460,180520,335.421,0.0379567,0,3.32644,9.08356,0.0006519,36.4302,335.878,0.597869,0.877604,0
4917,0,2,49,17,6309.89,2,1,800,8.14155,10.1,9.69593,15.0569,39.8033,0.505906,29.2,51600,541460,180520,382.652,0.0584622,0,3.06492,9.7553,0.000388193,41.5196,382.836,0.501896,0.838074,0
4918,0,2,49,18,6309.89,2,1,700,9.44651,9.91475,9.11136,20.3916,39.3148,0.181102,29.2,51600,541460,180520,408.125,0.0472037,0,2.30451,9.72915,0.000386887,43.8841,397.707,0.679721,0.943311,0
4919,0,2,49,19,6309.89,2,1,700,4.00464,9.52131,8.00248,20.5751,47.5082,0.0925197,29.2,51600,541460,180520,480.961,0.0232213,0,1.03274,9.96168,0.000368724,43.1936,380.979,0.685836,0.895331,0
4920,0,2,49,20,6309.89,2,1,800,25.0151,10.0377,10.1252,14.5948,50.8459,0.505906,29.2,32183.3,541460,180520,484.052,0.0429479,0,2.70295,10.5848,0.000201528,48.105,428.944,0.486492,0.784572,0
4921,0,2,49,21,6309.89,2,1,400,23.8634,10.9361,11.2275,13.723,43.7541,0.505906,29.2,32183.3,541460,180520,435.646,0.0461732,0,3.26558,11.3424,0.000103017,45.8176,424.652,0.457432,0.76926,0
